operator_state,operator_boundary_pixel,operator_notes,frame_id,sequence_id,facade_id,direction,distance_m,step_index,rgb_path
,,,506082,surface_beta/NORMAL_LOCK/15m/RIGHT,surface_beta,RIGHT,15.0,53,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/RIGHT/right_0053_rgb.png
,,,506083,surface_beta/NORMAL_LOCK/15m/RIGHT,surface_beta,RIGHT,15.0,54,data/sweeps_geo05r2/surface_beta/NORMAL_LOCK/15m/RIGHT/right_0054_rgb.png
,,,505228,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,0,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0000_rgb.png
,,,505229,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,1,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0001_rgb.png
,,,505230,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,2,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0002_rgb.png
,,,505231,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,3,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0003_rgb.png
,,,505232,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,4,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0004_rgb.png
,,,505233,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,5,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0005_rgb.png
,,,505234,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,6,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0006_rgb.png
,,,505235,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,7,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0007_rgb.png
,,,505236,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,8,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0008_rgb.png
,,,505237,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,9,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0009_rgb.png
,,,505238,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,10,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0010_rgb.png
,,,505239,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,11,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0011_rgb.png
,,,505240,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,12,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0012_rgb.png
,,,505241,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,13,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0013_rgb.png
,,,505242,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,14,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0014_rgb.png
,,,505243,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,15,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0015_rgb.png
,,,505244,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,16,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0016_rgb.png
,,,505245,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,17,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0017_rgb.png
,,,505246,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,18,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0018_rgb.png
,,,505247,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,19,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0019_rgb.png
,,,505248,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,20,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0020_rgb.png
,,,505249,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,21,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0021_rgb.png
,,,505250,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,22,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0022_rgb.png
,,,505251,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,23,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0023_rgb.png
,,,505252,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,24,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0024_rgb.png
,,,505253,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,25,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0025_rgb.png
,,,505254,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,26,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0026_rgb.png
,,,505255,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,27,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0027_rgb.png
,,,505256,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,28,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0028_rgb.png
,,,505257,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,29,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0029_rgb.png
,,,505258,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,30,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0030_rgb.png
,,,505259,surface_alpha/NORMAL_LOCK/10m/LEFT,surface_alpha,LEFT,10.0,31,data/sweeps_geo05r2/surface_alpha/NORMAL_LOCK/10m/LEFT/left_0031_rgb.png
